task,lang,metric,baseline,method,n_queries,meandiff,t_stat,p_raw,p_adj_holm,reject
rat2rev,en,R@1000,bm25,qwen3-reranker-8b+bm25,113,-0.18076093779524344,-11.44485347039194,1.4829735148661528e-20,5.63529935649138e-19,True
rat2rev,en,R@1000,bm25,rankgpt-gpt-4.1-mini+bm25,113,-0.18076093779524344,-11.44485347039194,1.4829735148661528e-20,5.63529935649138e-19,True
rat2rev,en,R@1000,bm25,rankgpt-gpt-4.1-nano+bm25,113,-0.18076093779524344,-11.44485347039194,1.4829735148661528e-20,5.63529935649138e-19,True
rat2rev,en,R@1000,bm25,rankgpt-gpt-5.4-mini+bm25,113,-0.18076093779524344,-11.44485347039194,1.4829735148661528e-20,5.63529935649138e-19,True
rat2rev,en,nDCG@10,bm25,bge-m3,113,0.009069615824049514,0.609029758809463,0.5437380918459809,1.0,False
rat2rev,en,nDCG@10,bm25,bge-reranker-v2-m3+bm25,113,-0.011955089694426628,-0.6757981764219794,0.5005618145156766,1.0,False
rat2rev,en,nDCG@10,bm25,bm25+d2e,113,0.01818083553543182,2.495089406904146,0.014050860879198811,0.2529154958255786,False
rat2rev,en,nDCG@10,bm25,bm25+d2q,113,-0.001811821285724058,-0.5188482133328568,0.6048902675718776,1.0,False
rat2rev,en,nDCG@10,bm25,bm25+q2d_zs.gpt-4.1-mini,113,-3.0312572091530382e-05,-0.010017480629399464,0.9920251623603042,1.0,False
rat2rev,en,nDCG@10,bm25,bm25+q2d_zs.qwen3.5-9b,113,-0.003998799599656613,-1.4736978437665667,0.14336806602387991,1.0,False
rat2rev,en,nDCG@10,bm25,bm25+q2e_zs.gpt-4.1-mini,113,0.0017673006275290826,0.947939942933986,0.3452008813214166,1.0,False
rat2rev,en,nDCG@10,bm25,bm25+q2e_zs.qwen3.5-9b,113,0.005020929913604075,1.971661680928352,0.05111404733002847,0.7155966626203987,False
rat2rev,en,nDCG@10,bm25,bm25+task_q2e.gpt-4.1-mini,113,0.0019306199826559516,1.009771140619926,0.31478150073193417,1.0,False
rat2rev,en,nDCG@10,bm25,bm25+task_q2e.qwen3.5-9b,113,0.002499740466236954,1.242417314343806,0.21667769512457055,1.0,False
rat2rev,en,nDCG@10,bm25,jina-reranker-v2+bm25,113,0.0639257212841741,3.5997156328655975,0.00047598616285908854,0.013803598722913568,True
rat2rev,en,nDCG@10,bm25,jina-v3,113,0.04709309227456827,2.5579401025556807,0.011865371987210499,0.2508970518560971,False
rat2rev,en,nDCG@10,bm25,jina-v3+d2e,113,0.06184187222217358,3.1715092254958317,0.0019568763105390955,0.048921907763477386,True
rat2rev,en,nDCG@10,bm25,jina-v3+d2q,113,0.03574267694836934,2.0588198501768162,0.0418311440592889,0.6274671608893335,False
rat2rev,en,nDCG@10,bm25,jina-v3+q2d_zs.gpt-4.1-mini,113,0.04590544038410871,2.5611902111557994,0.01176114854706566,0.2508970518560971,False
rat2rev,en,nDCG@10,bm25,jina-v3+q2d_zs.qwen3.5-9b,113,0.04769345846691428,2.5944695053545512,0.010740371872674749,0.2508970518560971,False
rat2rev,en,nDCG@10,bm25,jina-v3+q2e_zs.gpt-4.1-mini,113,0.04632868953537069,2.5963245580790604,0.010685893841128774,0.2508970518560971,False
rat2rev,en,nDCG@10,bm25,jina-v3+q2e_zs.qwen3.5-9b,113,0.040277652065345435,2.342787604323729,0.02090575738616774,0.33449211817868385,False
rat2rev,en,nDCG@10,bm25,jina-v3+task_q2e.gpt-4.1-mini,113,0.046848918124457614,2.604315939258221,0.010454043827337379,0.2508970518560971,False
rat2rev,en,nDCG@10,bm25,jina-v3+task_q2e.qwen3.5-9b,113,0.05808342736942767,3.2383730436943745,0.0015821435671576217,0.041135732746098164,True
rat2rev,en,nDCG@10,bm25,mcontriever,113,-0.057874774771289425,-3.7662872049687066,0.0002658235402238077,0.008240529746938037,True
rat2rev,en,nDCG@10,bm25,mcontriever-maxp-both,113,-0.03514506484016727,-2.5581954176340624,0.011857154686451463,0.2508970518560971,False
rat2rev,en,nDCG@10,bm25,mcontriever-maxp-doc,113,-0.04836218654078684,-3.7317264344020553,0.0003004132496763977,0.00901239749029193,True
rat2rev,en,nDCG@10,bm25,mcontriever-maxp-q,113,-0.0382044440559326,-2.4034191093116286,0.017884659383422825,0.304039209518188,False
rat2rev,en,nDCG@10,bm25,mdpr,113,-0.06169046784411217,-3.5477752994239897,0.0005687159076674617,0.015924045414688927,True
rat2rev,en,nDCG@10,bm25,mdpr-maxp-both,113,-0.05849755924057912,-3.838543840412209,0.00020533758510740276,0.006570802723436888,True
rat2rev,en,nDCG@10,bm25,mdpr-maxp-doc,113,-0.06294007521875124,-3.9131160033077457,0.00015677282379973636,0.0051735031853913,True
rat2rev,en,nDCG@10,bm25,mdpr-maxp-q,113,-0.05611548237930876,-3.360012241232561,0.0010663218989325528,0.028790691271178927,True
rat2rev,en,nDCG@10,bm25,me5-base,113,-0.006512199646262941,-0.4226426464858522,0.6733663263291231,1.0,False
rat2rev,en,nDCG@10,bm25,me5-base-maxp-both,113,0.01289950155483305,0.8348070413796075,0.40560352184492243,1.0,False
rat2rev,en,nDCG@10,bm25,me5-base-maxp-doc,113,-0.0036104337430420672,-0.2414202472979299,0.8096708602085728,1.0,False
rat2rev,en,nDCG@10,bm25,me5-base-maxp-q,113,0.007507042661818862,0.47088603461331047,0.6386379540755351,1.0,False
rat2rev,en,nDCG@10,bm25,qwen3-reranker-0.6b+bm25,113,0.07494313310804167,4.4340196412834345,2.1700120893557147e-05,0.0007595042312745001,True
rat2rev,en,nDCG@10,bm25,qwen3-reranker-4b+bm25,113,0.07461257648963057,4.2055218335256335,5.267723787878165e-05,0.0017910260878785762,True
rat2rev,en,nDCG@10,bm25,qwen3-reranker-8b+bm25,113,0.08736015095491585,5.251035829667799,7.268959923301428e-07,2.6895151716215284e-05,True
rat2rev,en,nDCG@10,bm25,rankgpt-gpt-4.1-mini+bm25,113,0.08853754351850644,5.164002108909753,1.0600578335874149e-06,3.8162082009146935e-05,True
rat2rev,en,nDCG@10,bm25,rankgpt-gpt-4.1-nano+bm25,113,0.013399839156026173,1.161331644404343,0.24797614955689182,1.0,False
rat2rev,en,nDCG@10,bm25,rankgpt-gpt-5.4-mini+bm25,113,0.10913855070520811,5.974701208482145,2.785360145269888e-08,1.0584368552025574e-06,True
rat2rev,en,nDCG@100,bm25,bge-m3,113,-0.0032593260579738314,-0.24698764157778771,0.8053699510366653,1.0,False
rat2rev,en,nDCG@100,bm25,bge-reranker-v2-m3+bm25,113,-0.01065668605190748,-0.9003235932780366,0.3698798728308096,1.0,False
rat2rev,en,nDCG@100,bm25,bm25+d2e,113,0.03792616372763151,5.326416135645523,5.228231840263146e-07,1.6730341888842067e-05,True
rat2rev,en,nDCG@100,bm25,bm25+d2q,113,-0.003137889846070378,-0.9249928362882883,0.35695835838631784,1.0,False
rat2rev,en,nDCG@100,bm25,bm25+q2d_zs.gpt-4.1-mini,113,0.0003848590989581359,0.30864201381229667,0.7581672102496646,1.0,False
rat2rev,en,nDCG@100,bm25,bm25+q2d_zs.qwen3.5-9b,113,-0.0026670894779437983,-2.029525110486002,0.044775500834069705,0.5373060100088365,False
rat2rev,en,nDCG@100,bm25,bm25+q2e_zs.gpt-4.1-mini,113,0.0031528919868387254,2.6727715634357607,0.008646408448268712,0.11240330982749325,False
rat2rev,en,nDCG@100,bm25,bm25+q2e_zs.qwen3.5-9b,113,0.0029842666546683215,1.7446963003544615,0.0837808334810554,0.8378083348105541,False
rat2rev,en,nDCG@100,bm25,bm25+task_q2e.gpt-4.1-mini,113,0.0025889900403588857,3.643818864673508,0.0004086575450044712,0.006538520720071539,True
rat2rev,en,nDCG@100,bm25,bm25+task_q2e.qwen3.5-9b,113,0.0018599562134874567,3.5005719956300747,0.0006675458003641552,0.010013187005462328,True
rat2rev,en,nDCG@100,bm25,jina-reranker-v2+bm25,113,0.03371269481221129,2.7564972298361408,0.006822692054497945,0.09551768876297123,False
rat2rev,en,nDCG@100,bm25,jina-v3,113,0.06712405207704608,4.066757662506312,8.89524463516182e-05,0.0019569538197356,True
rat2rev,en,nDCG@100,bm25,jina-v3+d2e,113,0.08247130182723003,4.355497181958343,2.9529992028224407e-05,0.000797309784762059,True
rat2rev,en,nDCG@100,bm25,jina-v3+d2q,113,0.030490074781534298,1.9291429096433195,0.056243399135233144,0.6186773904875645,False
rat2rev,en,nDCG@100,bm25,jina-v3+q2d_zs.gpt-4.1-mini,113,0.06422063906290276,4.052945860819871,9.365589114251213e-05,0.001966773713992755,True
rat2rev,en,nDCG@100,bm25,jina-v3+q2d_zs.qwen3.5-9b,113,0.06553993586038961,4.082372902031628,8.390723629398932e-05,0.0019298664347617543,True
rat2rev,en,nDCG@100,bm25,jina-v3+q2e_zs.gpt-4.1-mini,113,0.06652048497122039,4.023185445947618,0.00010461238100690317,0.0020922476201380635,True
rat2rev,en,nDCG@100,bm25,jina-v3+q2e_zs.qwen3.5-9b,113,0.06282954583259176,3.9444217206529166,0.00013983881605451304,0.002656937505035748,True
