task,lang,metric,baseline,method,n_queries,meandiff,t_stat,p_raw,p_adj_holm,reject
rat2rev,en,nDCG@100,jina-v3,bm25+d2e,113,-0.02919788834941455,-1.8275564801385353,0.07027836137783358,0.843340336534003,False
rat2rev,en,nDCG@100,jina-v3,bm25+d2q,113,-0.07026194192311644,-4.246432180397982,4.504127584306168e-05,0.0011710731719196037,True
rat2rev,en,nDCG@100,jina-v3,bm25+q2d_zs.gpt-4.1-mini,113,-0.06673919297808793,-4.076887991131751,8.56473346567611e-05,0.001969888697105505,True
rat2rev,en,nDCG@100,jina-v3,bm25+q2d_zs.qwen3.5-9b,113,-0.06979114155498987,-4.232904604230942,4.74401732526319e-05,0.0011860043313157975,True
rat2rev,en,nDCG@100,jina-v3,bm25+q2e_zs.gpt-4.1-mini,113,-0.06397116009020734,-3.885406027862369,0.00017337799570375182,0.0028175847638029013,True
rat2rev,en,nDCG@100,jina-v3,bm25+q2e_zs.qwen3.5-9b,113,-0.06413978542237775,-3.864117348009902,0.0001872601670138867,0.0028175847638029013,True
rat2rev,en,nDCG@100,jina-v3,bm25+task_q2e.gpt-4.1-mini,113,-0.0645350620366872,-3.8986860715523273,0.00016522097599307357,0.0028175847638029013,True
rat2rev,en,nDCG@100,jina-v3,bm25+task_q2e.qwen3.5-9b,113,-0.06526409586355861,-3.9444384760992306,0.00013983023860629178,0.0028175847638029013,True
rat2rev,en,nDCG@100,jina-v3,jina-reranker-v2+bm25,113,-0.033411357264834775,-1.955421957110342,0.053024298335463384,0.689315878361024,False
rat2rev,en,nDCG@100,jina-v3,jina-v3+d2e,113,0.015347249750183953,1.732304109909972,0.08597232180519698,0.9456955398571668,False
rat2rev,en,nDCG@100,jina-v3,jina-v3+d2q,113,-0.03663397729551177,-3.9277407543788976,0.0001486318898942883,0.0028175847638029013,True
rat2rev,en,nDCG@100,jina-v3,jina-v3+q2d_zs.gpt-4.1-mini,113,-0.002903413014143309,-0.716014053660746,0.47547289622924754,1.0,False
rat2rev,en,nDCG@100,jina-v3,jina-v3+q2d_zs.qwen3.5-9b,113,-0.0015841162166564397,-0.3093598386638665,0.7576226080652622,1.0,False
rat2rev,en,nDCG@100,jina-v3,jina-v3+q2e_zs.gpt-4.1-mini,113,-0.0006035671058256893,-0.25743631719222615,0.7973143536903465,1.0,False
rat2rev,en,nDCG@100,jina-v3,jina-v3+q2e_zs.qwen3.5-9b,113,-0.0042945062444543014,-1.3767581110515121,0.17133291509297296,1.0,False
rat2rev,en,nDCG@100,jina-v3,jina-v3+task_q2e.gpt-4.1-mini,113,0.0035986164393471344,1.0842250077289601,0.28059348703222403,1.0,False
rat2rev,en,nDCG@100,jina-v3,jina-v3+task_q2e.qwen3.5-9b,113,0.008888686669018557,2.3556043951968153,0.020231955890560004,0.28324738246784004,False
rat2rev,en,nDCG@100,jina-v3,mcontriever,113,-0.13133631719995068,-7.949554490078106,1.6225726599858547e-12,5.516747043951906e-11,True
rat2rev,en,nDCG@100,jina-v3,mcontriever-maxp-both,113,-0.1164274713761356,-6.826992649219754,4.694630498144482e-10,1.4553354544247893e-08,True
rat2rev,en,nDCG@100,jina-v3,mcontriever-maxp-doc,113,-0.12801305385918257,-7.752017379076899,4.480784682791029e-12,1.4786589453210396e-10,True
rat2rev,en,nDCG@100,jina-v3,mcontriever-maxp-q,113,-0.11413827622635882,-6.958050036212977,2.458419334794639e-10,7.866941871342845e-09,True
rat2rev,en,nDCG@100,jina-v3,mdpr,113,-0.15922114882845043,-8.678126796573457,3.6436052413936526e-14,1.384569991729588e-12,True
rat2rev,en,nDCG@100,jina-v3,mdpr-maxp-both,113,-0.15197771200894683,-8.216298618422696,4.0756100871054694e-13,1.4264635304869144e-11,True
